Name,County1,County2,County3,State,PM_Salary,Latitude,Longitude
Arizona,Yuma,,,AZ,360,32.73,-114.62
Ehrenburg,La Paz,,,AZ,140,33.60,-114.53
Florence,Pinal,,,AZ,12,33.03,-111.39
Fort Bowie,Cochise,,,AZ,12,32.15,-109.45
Grant,Pinal,Pima,,AZ,12,31.40,-110.92
Hardyville,Mohave,,,AZ,180,35.05,-114.62
Kirkland Valley,Yavapai,,,AZ,12,34.42,-112.71
La Paz,La Paz,,,AZ,200,33.68,-114.43
Maricopa,Pinal,,,AZ,220,33.06,-112.05
McDowell,Maricopa,,,AZ,12,33.64,-111.67
Mohave City,Mohave,,,AZ,80,35.04,-114.62
Overton,Maricopa,,,AZ,12,33.83,-111.95
Parker,La Paz,,,AZ,12,34.15,-114.29
Phoenix,Maricopa,,,AZ,12,33.45,-112.07
Prescott,Yavapai,,,AZ,540,34.54,-112.47
Providence Wells,Pima,,,AZ,12,32.13,-111.28
Sacaton,Pinal,,,AZ,12,33.08,-111.74
Saint Joseph,Navajo,,,AZ,44,34.96,-110.33
Sanford,Pinal,,,AZ,12,33.01,-111.44
Skull Valley,Yavapai,,,AZ,12,34.50,-112.69
Tubac,Santa Cruz,,,AZ,12,31.61,-111.05
Tucson,Pima,,,AZ,620,32.22,-110.93
Wickenburg,Maricopa,Yavapai,,AZ,200,33.96,-112.77
Wilson,Yavapai,,,AZ,12,33.45,-112.02
Alameda,Alameda,,,CA,99,37.77,-122.24
Alvarado,Alameda,,,CA,70,37.60,-122.08
Brooklyn,Alameda,,,CA,280,37.79,-122.25
Centerville,Alameda,,,CA,200,37.55,-121.99
Decoto,Alameda,,,CA,12,37.60,-122.02
Dougherty's Station,Alameda,,,CA,45,37.70,-121.94
Haywards,Alameda,,,CA,80,37.67,-122.08
Livermore,Alameda,,,CA,12,37.68,-121.77
Midway,Alameda,,,CA,12,37.71,-121.56
Mission San Jose,Alameda,Santa Clara,,CA,30,37.55,-121.99
Mount Eden,Alameda,,,CA,100,37.62,-122.09
Oakland,Alameda,,,CA,2100,37.80,-122.27
Pleasanton,Alameda,,,CA,94,37.66,-121.87
San Leandro,Alameda,,,CA,380,37.72,-122.14
San Lorenzo,Alameda,,,CA,140,37.69,-122.12
Sunolglen,Alameda,,,CA,12,37.59,-121.89
Warm Springs,Alameda,,,CA,13,37.55,-121.99
Washington Corners,Alameda,,,CA,12,37.53,-121.96
Bullionae,Alpine,,,CA,55,38.66,-119.73
Markleeville,Alpine,Amador,,CA,46,38.69,-119.78
Monitor,Alpine,Amador,,CA,160,38.67,-119.70
Woodford's,Alpine,Amador,,CA,35,38.77,-119.81
Amador City,Amador,,,CA,76,38.42,-120.82
Buena Vista,Amador,,,CA,12,38.29,-120.91
